value_mean,value_std,value_min,value_max,value_slope,value_spike,label,source
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
0.0,0.0,0.0,0.0,0.0,0.0,0,ec2_disk_write_bytes_1ef3de
72.6,30.6,42.0,103.2,61.2,30.60000000000001,0,ec2_network_in_5abac7
62.4,28.84995667241114,42.0,103.2,0.0,40.800000000000004,0,ec2_network_in_5abac7
61.8,25.006399181009648,42.0,103.2,18.0,41.400000000000006,0,ec2_network_in_5abac7
57.839999999999996,23.727250156729077,42.0,103.2,0.0,45.36000000000001,0,ec2_network_in_5abac7
66.8,29.50525376945604,42.0,111.6,69.6,44.8,0,ec2_network_in_5abac7
67.02857142857142,27.322294103937185,42.0,111.6,26.400000000000006,44.57142857142857,0,ec2_network_in_5abac7
63.9,26.86466080187874,42.0,111.6,0.0,47.699999999999996,0,ec2_network_in_5abac7
69.33333333333333,29.625814569204486,42.0,112.8,70.8,43.46666666666667,0,ec2_network_in_5abac7
66.6,29.277294957014046,42.0,112.8,0.0,46.2,0,ec2_network_in_5abac7
66.76363636363637,27.919601219061224,42.0,112.8,26.400000000000006,46.03636363636363,0,ec2_network_in_5abac7
66.2,26.796268396924226,42.0,112.8,18.0,46.599999999999994,0,ec2_network_in_5abac7
67.75384615384615,26.30169972233779,42.0,112.8,44.400000000000006,45.04615384615384,0,ec2_network_in_5abac7
